"Name","body_volume","body_area","body_height","body_width","right_wing_inertia_polar","right_wing_inertia_axis","right_wing_area","left_wing_inertia_polar","left_wing_inertia_axis","left_wing_area"
"Agrius cingulata",1336036.10336642,850547,2138,524,593038493963.707,1848049054021,3246292,636138446573.97,1781542659455,3250646
"Ceratomia catalpae",618802.646570235,393942,1388,403,237741645532.04,607349046528,2097624,238878353367.264,637220186063,2109326
"Dolba hyloeus",964533.347301465,614041,1734,486,278863325552.762,698554775105,2286588,296198955888.451,705653446741,2324440
"Enyo lugubris",1227927.61697109,781723,1837,558,249463956891.504,646060987473,2062710,245735043940.961,644314264039,2068700
"Eumorpha fasciatus",1432922.82080313,912227,2356,562,466617996202.131,1240495637775,2830082,495024241343.655,1254595942899,2870772
"Eumorpha pandorus",1284740.1785186,817891,1949,562,479104450702.878,1411579096618,2922756,472147529372.693,1303395103709,2891222
"Hemaris diffinis",992578.344920061,631895,1606,489,85684420583.5602,217411900633,1162754,94563784963.517,245500138549,1213732
"Hyles lineata",1764491.22185198,1123310,2183,703,750458641111.989,2267392920685,3667382,756435291823.477,2264222839706,3660870
"Manduca quinquemaculatus",1174280.21002206,747570,1896,547,767779738641.601,2133289226703,3681822,810732338025.332,1900973700061,3782576
"Manduca rustica",1580532.12242837,1006198,2074,620,883888541370.91,2626348812637,4010730,853333396482.868,2536054035298,3944554
"Manduca sexta",1191288.7926486,758398,1884,511,911420046355.321,2403966495197,3973578,936894489340.836,2393423389290,3974538
"Paratrea plebeja",1042927.07958282,663948,1867,529,277913253544.533,829679491494,2244116,287595525808.235,775594534525,2287824
